type,BJA5,BJI5,BJN4,BJU2,CCA1,CCI2,CCN1,CCU4,CDA4,CDI2,CDN2,CDU1,CSA2,CSI2,CSN3,CSU3,FZA2,FZI2,FZN1,FZU5,GYA1,GYI1,GYN3,GYU3,GZA3,GZI2,GZN5,GZU4,HEBA3,HEBI2,HEBN3,HEBU4,HFA5,HFI5,HFN2,HFU5,HHHTA3,HHHTI1,HHHTN5,HHHTU2,HZA2,HZI3,HZN4,HZU5,JNA5,JNI4,JNN1,JNU5,KMA2,KMI4,KMN1,KMU1,LZA2,LZI1,LZN5,LZU1,NJA5,NJI4,NJN2,NJU5,NNA4,NNI4,NNN3,NNU2,SHA1,SHI4,SHN4,SHU4,SJZA4,SJZI5,SJZN1,SJZU1,SYA4,SYI1,SYN4,SYU1,TJA3,TJI2,TJN1,TJU1,TYA1,TYI2,TYN3,TYU5,WHA5,WHI3,WHN5,WHU4,WLMQA2,WLMQI4,WLMQN2,WLMQU2,XAA1,XAI3,XAN1,XAU2,XNA3,XNI3,XNN1,XNU2,YCA4,YCI2,YCN3,YCU2,ZZA5,ZZI5,ZZN4,ZZU5
Multidrug,0.020843192,0.016091688,0.031598581,0.023030459,0.049550045,0.019483846,0.045618568,0.040190874,0.039226774,0.026924438,0.058985147,0.044477258,0.056090123,0.022947149,0.045834891,0.036315708,0.052951565,0.037170576,0.036312052,0.044322301,0.044905669,0.023987858,0.057150985,0.026630669,0.032809425,0.028115938,0.058003463,0.054839106,0.029957443,0.016385718,0.04712972,0.048099249,0.039739724,0.036453617,0.051286469,0.022103828,0.02472413,0.038823008,0.022962075,0.036439461,0.042626081,0.023786312,0.065518129,0.024887169,0.031435897,0.029776041,0.03171362,0.028629298,0.033462499,0.030576107,0.056159983,0.028480208,0.01912269,0.01155383,0.019933339,0.084922015,0.017134282,0.034518173,0.039291991,0.040756446,0.036927284,0.026633318,0.053581468,0.028133154,0.031398904,0.031329246,0.034371587,0.024507804,0.023109337,0.026321468,0.031733276,0.031530982,0.027212247,0.024438284,0.02465268,0.022142099,0.022453106,0.020902576,0.046649581,0.01807586,0.025545342,0.028538724,0.036678844,0.024024802,0.052424711,0.02367908,0.045909394,0.023779177,0.011994608,0.025756036,0.019811385,0.022983705,0.034380895,0.01745298,0.023886934,0.024194527,0.024916798,0.029228646,0.029525844,0.026028818,0.01828891,0.008125918,0.030426277,0.022096538,0.034976231,0.028184551,0.031484957,0.068150189
Rifamycin,0.015956525,0.024020084,0.025864883,0.017739713,0.019446417,0.021401688,0.029906529,0.023274149,0.018420964,0.018106426,0.014116429,0.026435527,0.010700398,0.022321533,0.028724699,0.026190456,0.033513369,0.017497618,0.024557498,0.026923241,0.016907568,0.018277524,0.013230943,0.021157082,0.019987957,0.012360284,0.026623071,0.028908218,0.019117838,0.023366666,0.031154502,0.014824856,0.016954702,0.017634843,0.018683411,0.015717911,0.018844956,0.012949498,0.034090367,0.015188434,0.010743539,0.01530398,0.017992088,0.009708913,0.012615694,0.014259497,0.027040175,0.016945632,0.026136903,0.033566289,0.028448439,0.024177185,0.016509432,0.015785534,0.018356078,0.020777609,0.015346043,0.023586062,0.019054129,0.027420799,0.012319844,0.024226687,0.013472599,0.017930317,0.011092538,0.014214348,0.017400683,0.009512088,0.018126668,0.016973649,0.030299595,0.025097318,0.015386013,0.018284851,0.023549212,0.022634692,0.015463771,0.02224861,0.019924389,0.018066764,0.014102165,0.024467742,0.028120768,0.014349124,0.020689709,0.015350304,0.021202908,0.013260571,0.019453782,0.013289629,0.022998641,0.019578286,0.011176193,0.019031761,0.016809869,0.013953679,0.018168702,0.015531123,0.019840256,0.018748679,0.015569061,0.019705549,0.026657115,0.018163214,0.01936105,0.019434103,0.030994698,0.017735444
Bacitracin,0.013437301,0.011427772,0.01670009,0.016506729,0.023424512,0.014997704,0.007582792,0.02319646,0.018957319,0.017817123,0.013071467,0.022123598,0.025683988,0.015928462,0.004453801,0.026898767,0.014438707,0.018111604,0.013913889,0.021834869,0.012319147,0.01832367,0.007098243,0.023594754,0.018782077,0.026839833,0.00465031,0.02765802,0.020279282,0.013652619,0.019855546,0.030453984,0.011557021,0.026886672,0.008719365,0.016389061,0.013632896,0.020345385,0.00977848,0.020984482,0.012574298,0.019116562,0.004199621,0.019618034,0.020629343,0.027867697,0.015427135,0.020290584,0.027697933,0.015745449,0.006250786,0.026020632,0.01455305,0.009546024,0.015322122,0.044655737,0.013265098,0.02204491,0.015493267,0.021807489,0.013078025,0.014078553,0.012075904,0.018310949,0.028080694,0.025760426,0.01020369,0.021111988,0.016168335,0.018407674,0.015600552,0.021633491,0.013077124,0.021116957,0.013391953,0.013887018,0.015291325,0.012991051,0.00857117,0.015068989,0.01375606,0.021913594,0.025870922,0.018623004,0.037681008,0.018305975,0.005337416,0.020160838,0.008409347,0.01784748,0.012910282,0.015939538,0.020390778,0.012431319,0.0137886,0.018494366,0.015482592,0.029500724,0.017963527,0.017757478,0.014362625,0.008819791,0.014365353,0.014175896,0.019799644,0.020060774,0.017030946,0.030739287
Novobiocin,0.01028223,0.0105028,0.012777867,0.007884094,0.005938066,0.012941179,0.021538224,0.00827479,0.007359871,0.010467846,0.006582825,0.007783646,0.013258489,0.01314907,0.026520596,0.008186954,0.014707859,0.011525106,0.016682549,0.013111141,0.011851951,0.012087165,0.011637338,0.009271564,0.006146714,0.006088708,0.012095085,0.010387858,0.008620966,0.010774773,0.012007209,0.005469895,0.008048319,0.006844666,0.018514961,0.007363208,0.010178615,0.007108898,0.015557503,0.008583756,0.004744669,0.006748596,0.017629118,0.004473459,0.007167476,0.009478998,0.011171432,0.007470257,0.008561165,0.012300166,0.017758688,0.016881319,0.009315749,0.00905264,0.010688503,0.005774809,0.010964393,0.011104873,0.013432147,0.013045597,0.003865487,0.012880375,0.011381198,0.012560163,0.002916502,0.008213683,0.015269472,0.004501101,0.00883901,0.009638439,0.013834149,0.012937709,0.010434052,0.00789568,0.011500706,0.014431193,0.008607281,0.009799421,0.021065883,0.01056741,0.008541835,0.009974918,0.007788057,0.008858216,0.005798224,0.009827579,0.027907215,0.0073179,0.021661559,0.008131329,0.016762226,0.009619345,0.006317509,0.014018175,0.009988776,0.006902658,0.008370997,0.005732202,0.011777193,0.01110246,0.01369143,0.017523506,0.01305122,0.013190718,0.009829514,0.009339924,0.010642739,0.010307404
Polymyxin,0.006689013,0.006866094,0.006558016,0.00909632,0.015890527,0.006304936,0.009181737,0.016417822,0.012625856,0.011392447,0.01176619,0.013525272,0.020318703,0.008005324,0.008356399,0.012045763,0.013530122,0.008971733,0.007376089,0.01446934,0.011503563,0.008493693,0.010151589,0.010354978,0.010481188,0.00888573,0.009482213,0.020097502,0.008618699,0.007593332,0.010418427,0.015273036,0.009132387,0.009426778,0.008199274,0.007199715,0.007345149,0.015848646,0.004731739,0.014624315,0.012934837,0.008757389,0.009750565,0.007250264,0.008752272,0.009811155,0.008137989,0.009672353,0.015257304,0.010785447,0.009926735,0.012217339,0.00654968,0.004990123,0.006377973,0.017307912,0.004631074,0.01057354,0.009224665,0.015470268,0.009650662,0.010659582,0.010698957,0.007900209,0.009963824,0.007755433,0.008731889,0.008360475,0.007634446,0.009409104,0.008632797,0.010868529,0.007426951,0.008554367,0.006804813,0.00877168,0.00651295,0.008088277,0.00833218,0.009089037,0.007332784,0.011379332,0.010565013,0.012103639,0.009992155,0.00961739,0.008537109,0.007319386,0.004020487,0.008371622,0.00628666,0.008276062,0.009342831,0.005691019,0.005349151,0.006499142,0.008824742,0.011664323,0.004955434,0.010230192,0.008474451,0.004216436,0.006320588,0.008647378,0.010632497,0.01190324,0.009914321,0.01980814
Tetracycline,0.005660594,0.007275359,0.008818847,0.00554215,0.01516332,0.006917269,0.00945319,0.015952218,0.006754927,0.008609427,0.003515727,0.012255625,0.013014727,0.007943768,0.010621903,0.016569713,0.017297747,0.007469988,0.008987237,0.023062465,0.00737558,0.01037591,0.00755725,0.006156608,0.005067209,0.005036249,0.009732364,0.028130362,0.005958998,0.007520423,0.010159849,0.012858315,0.00397768,0.007414907,0.00949078,0.005270294,0.006839077,0.005807057,0.010170239,0.007264579,0.002699094,0.003731637,0.008577279,0.002903132,0.005257769,0.005518302,0.009175759,0.005496419,0.006368882,0.012036857,0.005933037,0.012285281,0.005372861,0.007034852,0.007408554,0.011873945,0.003605225,0.016514627,0.010504279,0.026916176,0.002476919,0.009151964,0.005387937,0.009448822,0.002332653,0.005254384,0.006374667,0.002635791,0.005757372,0.009246767,0.009531161,0.015513513,0.00493327,0.006069831,0.009233744,0.008818806,0.003477698,0.012280644,0.009596815,0.006115793,0.004608284,0.011815537,0.009481077,0.007569751,0.005007063,0.00658396,0.009362619,0.004422968,0.012662902,0.006692389,0.01089258,0.006274855,0.004375687,0.006958913,0.006498112,0.003617024,0.005335262,0.012750304,0.004321283,0.010098584,0.006179815,0.014492245,0.011194343,0.00799648,0.009438324,0.011723913,0.007737202,0.024503638
Beta_lactam,0.014635138,0.005001362,0.007926634,0.00985403,0.010204001,0.004631049,0.008683192,0.008929082,0.00658273,0.006489433,0.011362864,0.01172229,0.006896825,0.008606063,0.006727465,0.00935363,0.007465488,0.00898824,0.009395169,0.00984141,0.008040973,0.007082267,0.010008631,0.013361666,0.00584509,0.006618078,0.005621538,0.014914058,0.006979511,0.004120859,0.012469764,0.011422314,0.003663321,0.011016848,0.008391902,0.004916596,0.008022676,0.007761177,0.006022455,0.019655245,0.003038535,0.003169525,0.009160759,0.00390556,0.018281556,0.010434716,0.007585913,0.011973874,0.010018934,0.005727996,0.010212263,0.008602736,0.011909976,0.003788546,0.007932884,0.021674378,0.004721583,0.007034441,0.009302871,0.009942552,0.004777899,0.006734668,0.012328736,0.004566166,0.005741831,0.005254772,0.007259884,0.004168106,0.010159598,0.007263812,0.007450357,0.01114089,0.004097613,0.00672435,0.00452312,0.003785818,0.006741091,0.007540677,0.010792076,0.007351981,0.010940363,0.007604971,0.009332817,0.008793423,0.017369528,0.009470399,0.006830897,0.011185321,0.006043066,0.011583437,0.00559128,0.006036193,0.01089497,0.004517459,0.007459666,0.007179308,0.010083056,0.007783715,0.004368462,0.007642368,0.008226074,0.002566089,0.007631673,0.008449001,0.018735033,0.009824373,0.007903722,0.02337497
Vancomycin,0.004524313,0.005713317,0.004347079,0.002190317,0.010575781,0.004621536,0.010228107,0.004186901,0.002819617,0.004957458,0.002041108,0.002720242,0.007700974,0.011818919,0.019288842,0.004920055,0.010591973,0.005296434,0.003939831,0.006206609,0.005942481,0.002424954,0.006678289,0.004715853,0.002101961,0.001392689,0.041191067,0.006233379,0.005488201,0.003146038,0.017589516,0.001098073,0.005484573,0.004905852,0.008835718,0.001441874,0.005318197,0.002153816,0.015152491,0.004721162,0.002819774,0.001406685,0.028131477,0.000528874,0.002892491,0.001935883,0.012289432,0.003200274,0.003991418,0.011434923,0.012569683,0.006398731,0.00737255,0.002798475,0.011355311,0.003026353,0.001012282,0.003637629,0.005532925,0.00640373,0.00165705,0.007911684,0.0083835,0.003491614,0.001985697,0.001633008,0.005220753,0.000945306,0.003871601,0.003574778,0.011274404,0.013096516,0.004847278,0.003402931,0.004631608,0.007423117,0.001790433,0.007427893,0.017424953,0.006104226,0.004427154,0.004044312,0.007707437,0.002380796,0.004685224,0.005849583,0.020177103,0.001811566,0.010304321,0.002467232,0.009086239,0.005864609,0.001656846,0.011615989,0.006870675,0.002539062,0.005850572,0.002913793,0.001769302,0.004389087,0.007049064,0.017562125,0.015908185,0.004815423,0.007358125,0.006609794,0.007655883,0.003559626
Macrolide-lincosamide-streptogramin,0.004256165,0.005124537,0.005227548,0.004066358,0.005431052,0.004346135,0.005805968,0.005612384,0.004908491,0.00549499,0.003672976,0.00855042,0.004376342,0.005425534,0.008263955,0.004661208,0.013058688,0.004680651,0.004839539,0.01890775,0.004505567,0.003524751,0.004182084,0.004300719,0.005644134,0.003773872,0.007091221,0.009391273,0.004446212,0.004833949,0.005309132,0.009418647,0.004216686,0.004648546,0.005398351,0.003846128,0.005645885,0.009978173,0.005410893,0.006489252,0.004775385,0.003824541,0.008174962,0.003797175,0.005133407,0.004948493,0.006646008,0.005423966,0.005983112,0.005503631,0.00562462,0.004560829,0.00388836,0.004161347,0.005355542,0.017963378,0.003921057,0.005723915,0.00544094,0.007108417,0.005753534,0.006921587,0.005158739,0.004314066,0.004553725,0.004411895,0.005775698,0.00397946,0.004964488,0.005735183,0.005447726,0.00700442,0.005102113,0.00437102,0.004992804,0.006230223,0.004611855,0.005128477,0.005080153,0.005031754,0.004813432,0.004259954,0.005639641,0.005281572,0.006280331,0.004272013,0.007247931,0.004505159,0.005109315,0.003171549,0.005317187,0.003998336,0.005010519,0.005333461,0.004805406,0.004140122,0.004898342,0.002919968,0.003997174,0.007253705,0.010423664,0.00574554,0.005717633,0.005789717,0.006714178,0.006675001,0.006490285,0.034572344
Aminoglycoside,0.004337317,0.005517229,0.005943337,0.004587879,0.004114458,0.004124115,0.002424454,0.010399854,0.002943132,0.003645818,0.002036006,0.013018848,0.002237147,0.004578124,0.003533129,0.005941608,0.011345173,0.003296898,0.003101177,0.02277893,0.001832545,0.004755345,0.001251956,0.007035241,0.004004806,0.004305107,0.001630917,0.013199146,0.002293645,0.004041463,0.003795458,0.016226602,0.00093246,0.005516259,0.002453547,0.00334138,0.004493431,0.005890783,0.003791294,0.00711481,0.00107711,0.003866762,0.001701808,0.003073244,0.004037301,0.005400807,0.00854308,0.006066467,0.007937129,0.010984855,0.004399455,0.003797283,0.00493144,0.004688463,0.004827439,0.033307102,0.002161449,0.005843271,0.003735831,0.005446005,0.001832358,0.005642625,0.001330665,0.003185905,0.003304742,0.003268277,0.002298252,0.002487767,0.005495824,0.004562465,0.00664464,0.00641222,0.001482816,0.002983628,0.004988831,0.002644345,0.003083247,0.005407454,0.002120573,0.005692796,0.003801658,0.007049995,0.005532185,0.00524878,0.006132808,0.005656349,0.00383544,0.004062018,0.005304588,0.00398536,0.004374716,0.006925427,0.004683414,0.004713468,0.006306673,0.004831505,0.004865687,0.004190451,0.002635662,0.005914493,0.004285906,0.005443243,0.006645364,0.0043684,0.006029258,0.006721206,0.006755924,0.032864455
Mupirocin,0.002571379,0.003200874,0.002162625,0.0033873,0.002968057,0.003304138,0.002319628,0.008876484,0.002616455,0.002934856,0.000980642,0.007085976,0.00298665,0.003464385,0.003950654,0.004703438,0.004569462,0.002267791,0.002029861,0.007477742,0.00204843,0.003861961,0.002078387,0.004620217,0.003472779,0.001925154,0.003574859,0.009427973,0.002114537,0.003001942,0.001847032,0.004181909,0.001276877,0.003310831,0.001668174,0.002671707,0.00303779,0.005344749,0.002171523,0.00576618,0.001136898,0.001707192,0.00330061,0.001338262,0.003097414,0.003033842,0.001831317,0.003109418,0.006410378,0.007392523,0.00308394,0.007638605,0.002586624,0.003179996,0.003200053,0.004530523,0.002175612,0.005222693,0.00230185,0.006699327,0.001319049,0.003150353,0.001687749,0.003426975,0.00164341,0.002326446,0.002024235,0.001807597,0.003139559,0.003969313,0.002773301,0.005630654,0.002016809,0.002661368,0.001794255,0.003143979,0.002163527,0.004176042,0.002701087,0.006214088,0.002622582,0.006721496,0.003283666,0.012412798,0.003193866,0.002843618,0.00381087,0.003456625,0.001966643,0.003347139,0.001975937,0.00426921,0.002268987,0.00244664,0.001085036,0.001923759,0.002362277,0.005308118,0.001077489,0.006074514,0.004807809,0.003621384,0.002343773,0.004948462,0.002948972,0.004295682,0.001843563,0.009354788
