sample.id,group,Location,Latitude,Longitude
BJA5,Cropland,Beijing,39.63,116.09
BJI5,Industry,Beijing,39.73,115.92
BJN4,Forest,Beijing,40.96,116.49
BJU2,Urban,Beijing,39.91,116.45
CCA1,Cropland,Changchun,43.94,125.68
CCI2,Industry,Changchun,43.88,125.12
CCN1,Forest,Changchun,43.94,125.66
CCU4,Urban,Changchun,43.87,125.32
CDA4,Cropland,Chengdu,31.09,103.89
CDI2,Industry,Chengdu,30.86,104.26
CDN2,Forest,Chengdu,31.22,103.75
CDU1,Urban,Chengdu,30.66,104.07
CSA2,Cropland,Changsha,28.12,113.1
CSI2,Industry,Changsha,28.08,113.02
CSN3,Forest,Changsha,28.45,113
CSU3,Urban,Changsha,28.2,112.97
FZA2,Cropland,Fuzhou,25.85,119.53
FZI2,Industry,Fuzhou,25.89,119.37
FZN1,Forest,Fuzhou,26.25,119.16
FZU5,Urban,Fuzhou,26.08,119.37
GYA1,Cropland,Guiyang,26.6,106.98
GYI1,Industry,Guiyang,26.46,106.74
GYN3,Forest,Guiyang,26.46,106.95
GYU3,Urban,Guiyang,26.58,106.71
GZA3,Cropland,Guangzhou,23.59,113.44
GZI2,Industry,Guangzhou,23.13,113.52
GZN5,Forest,Guangzhou,23.3,113.46
GZU4,Urban,Guangzhou,23.13,113.27
HEBA3,Cropland,Harbin,45.71,127.41
HEBI2,Industry,Harbin,45.63,126.69
HEBN3,Forest,Harbin,45.76,127.4
HEBU4,Urban,Harbin,45.77,126.62
HFA5,Cropland,Hefei,31.83,116.96
HFI5,Industry,Hefei,31.76,117.23
HFN2,Forest,Hefei,31.72,117
HFU5,Urban,Hefei,31.86,117.29
HHHTA3,Cropland,Hohhot,40.74,111.39
HHHTI1,Industry,Hohhot,40.7,111.53
HHHTN5,Forest,Hohhot,40.85,111.57
HHHTU2,Urban,Hohhot,40.81,111.66
HZA2,Cropland,Hangzhou,30.24,120.56
HZI3,Industry,Hangzhou,30.27,120.61
HZN4,Forest,Hangzhou,30.19,120.02
HZU5,Urban,Hangzhou,30.27,120.16
JNA5,Cropland,Jinan,36.82,116.91
JNI4,Industry,Jinan,36.8,116.88
JNN1,Forest,Jinan,36.82,116.91
JNU5,Urban,Jinan,36.67,117.02
KMA2,Cropland,Kunming,24.93,102.69
KMI4,Industry,Kunming,24.8,102.55
KMN1,Forest,Kunming,25.05,102.58
KMU1,Urban,Kunming,25.02,102.7
LZA2,Cropland,Lanzhou,36.14,103.38
LZI1,Industry,Lanzhou,36.12,103.63
LZN5,Forest,Lanzhou,36.02,103.83
LZU1,Urban,Lanzhou,36.06,103.81
NJA5,Cropland,Nanjing,32.19,118.78
NJI4,Industry,Nanjing,32.16,118.87
NJN2,Forest,Nanjing,32.08,118.85
NJU5,Urban,Nanjing,32.02,118.79
NNA4,Cropland,Nanning,22.77,108.18
NNI4,Industry,Nanning,22.87,108.32
NNN3,Forest,Nanning,22.97,108.37
NNU2,Urban,Nanning,22.81,108.32
SHA1,Cropland,Shanghai,31.06,121.64
SHI4,Industry,Shanghai,30.82,121.45
SHN4,Forest,Shanghai,31.09,121.19
SHU4,Urban,Shanghai,31.24,121.5
SJZA4,Cropland,Shijiazhuang,37.96,114.67
SJZI5,Industry,Shijiazhuang,37.97,114.68
SJZN1,Forest,Shijiazhuang,37.91,114.35
SJZU1,Urban,Shijiazhuang,38.04,114.48
SYA4,Cropland,Shenyang,41.79,123.13
SYI1,Industry,Shenyang,41.79,123.27
SYN4,Forest,Shenyang,41.94,123.64
SYU1,Urban,Shenyang,41.8,123.46
TJA3,Cropland,Tianjin,40.09,117.57
TJI2,Industry,Tianjin,38.83,117.42
TJN1,Forest,Tianjin,40.18,117.54
TJU1,Urban,Tianjin,39.12,117.19
TYA1,Cropland,Taiyuan,37.94,112.49
TYI2,Industry,Taiyuan,37.93,112.53
TYN3,Forest,Taiyuan,37.91,112.76
TYU5,Urban,Taiyuan,37.86,112.56
WHA5,Cropland,Wuhan,30.59,113.98
WHI3,Industry,Wuhan,30.63,114.44
WHN5,Forest,Wuhan,30.49,113.96
WHU4,Urban,Wuhan,30.58,114.28
WLMQA2,Cropland,Urumqi,43.96,87.74
WLMQI4,Industry,Urumqi,43.86,87.34
WLMQN2,Forest,Urumqi,43.83,87.95
WLMQU2,Urban,Urumqi,43.78,87.62
XAA1,Cropland,Xian,34.45,109.11
XAI3,Industry,Xian,34.5,109.05
XAN1,Forest,Xian,34.36,109.21
XAU2,Urban,Xian,34.22,108.96
XNA3,Cropland,Xining,36.51,101.22
XNI3,Industry,Xining,36.54,101.52
XNN1,Forest,Xining,36.7,101.37
XNU2,Urban,Xining,36.62,101.77
YCA4,Cropland,Yinchuan,38.58,106.1
YCI2,Industry,Yinchuan,38.23,106.55
YCN3,Forest,Yinchuan,38.74,105.92
YCU2,Urban,Yinchuan,38.48,106.24
ZZA5,Cropland,Zhengzhou,34.73,113.31
ZZI5,Industry,Zhengzhou,34.69,112.91
ZZN4,Forest,Zhengzhou,34.63,113.27
ZZU5,Urban,Zhengzhou,34.75,113.67
